locus_tag	ftype	length_bp	gene	EC_number	COG	product
NZP2298_00001	CDS	1473	dnaA		COG0593	Chromosomal replication initiator protein DnaA
NZP2298_00002	CDS	1119	dnaN_1			Beta sliding clamp
NZP2298_00003	CDS	1140	recF		COG1195	DNA replication and repair protein RecF
NZP2298_00004	CDS	753	moeZ		COG0476	Probable adenylyltransferase/sulfurtransferase MoeZ
NZP2298_00005	CDS	477				hypothetical protein
NZP2298_00006	CDS	1002		1.1.1.29		Glycerate dehydrogenase
NZP2298_00007	CDS	561				hypothetical protein
NZP2298_00008	CDS	432				hypothetical protein
NZP2298_00009	CDS	516	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
NZP2298_00010	CDS	1221	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
NZP2298_00011	CDS	804	fabI_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
NZP2298_00012	CDS	1545			COG2199	Uncharacterized signaling protein CC_0091
NZP2298_00013	CDS	1011	rsmC	2.1.1.172		Ribosomal RNA small subunit methyltransferase C
NZP2298_00014	CDS	2148	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
NZP2298_00015	CDS	270	rpsO		COG0184	30S ribosomal protein S15
NZP2298_00016	CDS	1095	corA_1		COG0598	Cobalt/magnesium transport protein CorA
NZP2298_00017	CDS	978	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
NZP2298_00018	CDS	453	rbfA			Ribosome-binding factor A
NZP2298_00019	CDS	2583	infB		COG0532	Translation initiation factor IF-2
NZP2298_00020	CDS	651				hypothetical protein
NZP2298_00021	CDS	1596	nusA		COG0195	Transcription termination/antitermination protein NusA
NZP2298_00022	CDS	648	rimP			Ribosome maturation factor RimP
NZP2298_00023	CDS	165				hypothetical protein
NZP2298_00024	CDS	702	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
NZP2298_00025	CDS	1266	metK_1	2.5.1.6		S-adenosylmethionine synthase
NZP2298_00026	CDS	420				hypothetical protein
NZP2298_00027	CDS	1590	lnt	2.3.1.-	COG0815	Apolipoprotein N-acyltransferase
NZP2298_00028	CDS	471				hypothetical protein
NZP2298_00029	CDS	1095	tlyC		COG1253	Hemolysin C
NZP2298_00030	CDS	468	ybeY	3.1.-.-		Endoribonuclease YbeY
NZP2298_00031	CDS	1050			COG1702	PhoH-like protein
NZP2298_00032	CDS	1410	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
NZP2298_00033	CDS	801				hypothetical protein
NZP2298_00034	CDS	495	rimI	2.3.1.128	COG0456	Ribosomal-protein-alanine acetyltransferase
NZP2298_00035	CDS	720	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
NZP2298_00036	CDS	1104				hypothetical protein
NZP2298_00037	CDS	1080	irpA		COG3489	Iron-regulated protein A
NZP2298_00038	CDS	1602				hypothetical protein
NZP2298_00039	CDS	486	bfr	1.16.3.1	COG2193	Bacterioferritin
NZP2298_00040	CDS	312				hypothetical protein
NZP2298_00041	CDS	1290				hypothetical protein
NZP2298_00042	CDS	1254	thcD	1.18.1.-		Rhodocoxin reductase
NZP2298_00043	CDS	1278	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
NZP2298_00044	CDS	1134	mdtA_1			Multidrug resistance protein MdtA
NZP2298_00045	CDS	1077	mdtE			Multidrug resistance protein MdtE
NZP2298_00046	CDS	3099	mepB_1		COG0841	Multidrug/solvent efflux pump membrane transporter MepB
NZP2298_00047	CDS	336				hypothetical protein
NZP2298_00048	CDS	750	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
NZP2298_00049	CDS	834	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
NZP2298_00050	CDS	921	ddpC_1		COG1173	Probable D,D-dipeptide transport system permease protein DdpC
NZP2298_00051	CDS	1062	dppB_1		COG0601	Dipeptide transport system permease protein DppB
NZP2298_00052	CDS	1644	ddpA_1		COG0747	Probable D,D-dipeptide-binding periplasmic protein DdpA
NZP2298_00053	CDS	135				hypothetical protein
NZP2298_00054	CDS	1248				Tn3 family transposase TnXax1
NZP2298_00055	CDS	606	recR		COG0353	Recombination protein RecR
NZP2298_00056	CDS	993				hypothetical protein
NZP2298_00057	CDS	408				hypothetical protein
NZP2298_00058	CDS	324			COG0718	Nucleoid-associated protein HI_0442
NZP2298_00059	CDS	1839				hypothetical protein
NZP2298_00060	CDS	420				hypothetical protein
NZP2298_00061	CDS	945	nudC_1	3.6.1.22		NADH pyrophosphatase
NZP2298_00062	CDS	306				hypothetical protein
NZP2298_00063	CDS	864	pheA		COG0077	P-protein
NZP2298_00064	CDS	729	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
NZP2298_00065	CDS	669				hypothetical protein
NZP2298_00066	CDS	1878	appA_1			Oligopeptide-binding protein AppA
NZP2298_00067	CDS	1884				hypothetical protein
NZP2298_00068	CDS	1095	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
NZP2298_00069	CDS	1146	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
NZP2298_00070	CDS	1632	yejF_1		COG4172	Uncharacterized ABC transporter ATP-binding protein YejF
NZP2298_00071	CDS	942	ghrA_1	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
NZP2298_00072	CDS	528				hypothetical protein
NZP2298_00073	CDS	363				hypothetical protein
NZP2298_00074	CDS	915	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
NZP2298_00075	CDS	1008				hypothetical protein
NZP2298_00076	CDS	1602	lig	6.5.1.1		DNA ligase
NZP2298_00077	CDS	1146				hypothetical protein
NZP2298_00078	tRNA	76				tRNA-Thr(cgt)
NZP2298_00079	CDS	144				hypothetical protein
NZP2298_00080	CDS	687				hypothetical protein
NZP2298_00081	CDS	153				hypothetical protein
NZP2298_00082	CDS	189				hypothetical protein
NZP2298_00083	CDS	429				hypothetical protein
NZP2298_00084	CDS	537	sigE		COG1595	ECF RNA polymerase sigma factor SigE
NZP2298_00085	CDS	447				hypothetical protein
NZP2298_00086	CDS	456				hypothetical protein
NZP2298_00087	CDS	279				hypothetical protein
NZP2298_00088	CDS	1494				hypothetical protein
NZP2298_00089	CDS	1239				hypothetical protein
NZP2298_00090	CDS	267				hypothetical protein
NZP2298_00091	CDS	447				hypothetical protein
NZP2298_00092	CDS	3420	aas_1	6.2.1.20		Bifunctional protein Aas
NZP2298_00093	CDS	1590				hypothetical protein
NZP2298_00094	CDS	2154				hypothetical protein
NZP2298_00095	CDS	483				hypothetical protein
NZP2298_00096	CDS	1572	carA2	1.3.99.29	COG1233	zeta-carotene-forming phytoene desaturase
NZP2298_00097	CDS	792	kynB	3.5.1.9		Kynurenine formamidase
NZP2298_00098	CDS	1575	crtI_1	1.3.99.28	COG1233	Phytoene desaturase (neurosporene-forming)
NZP2298_00099	CDS	1530				hypothetical protein
NZP2298_00100	CDS	1008	dppB_2		COG0601	Dipeptide transport system permease protein DppB
NZP2298_00101	CDS	843	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
NZP2298_00102	CDS	879	ddpD_1		COG0444	Probable D,D-dipeptide transport ATP-binding protein DdpD
NZP2298_00103	CDS	837	oppF_2		COG4608	Oligopeptide transport ATP-binding protein OppF
NZP2298_00104	CDS	600	cetB_1	5.1.3.33		2-epi-5-epi-valiolone epimerase
NZP2298_00105	CDS	2295	namA_1	1.6.99.1		NADPH dehydrogenase
NZP2298_00106	CDS	774	actIII_1	1.3.1.-		Putative ketoacyl reductase
NZP2298_00107	CDS	471	mhqR		COG1846	HTH-type transcriptional regulator MhqR
NZP2298_00108	CDS	813		4.2.1.17	COG1024	Probable enoyl-CoA hydratase echA12
NZP2298_00109	CDS	1149		1.3.99.-	COG1960	Probable acyl-CoA dehydrogenase fadE25
NZP2298_00110	CDS	396				hypothetical protein
NZP2298_00111	CDS	1092	rutA_1	1.14.99.46	COG2141	Pyrimidine monooxygenase RutA
NZP2298_00112	CDS	762	garL_1	4.1.2.20	COG3836	5-keto-4-deoxy-D-glucarate aldolase
NZP2298_00113	CDS	1200		2.6.1.1		Aspartate aminotransferase
NZP2298_00114	CDS	798	fliY_1		COG0834	L-cystine-binding protein FliY
NZP2298_00115	CDS	675	yecS_1		COG0765	L-cystine transport system permease protein YecS
NZP2298_00116	CDS	1269	csd_1	2.8.1.7		Probable cysteine desulfurase
NZP2298_00117	CDS	834	oppF_3		COG4608	Oligopeptide transport ATP-binding protein OppF
NZP2298_00118	CDS	858	dppD		COG0444	Dipeptide transport ATP-binding protein DppD
NZP2298_00119	CDS	924	dppC_1		COG1173	Dipeptide transport system permease protein DppC
NZP2298_00120	CDS	1008	dppB_3		COG0601	Dipeptide transport system permease protein DppB
NZP2298_00121	CDS	1593	dppA_1		COG0747	Periplasmic dipeptide transport protein
NZP2298_00122	CDS	2025	fadD_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
NZP2298_00123	CDS	714	prmA_1	2.1.1.-		Ribosomal protein L11 methyltransferase
NZP2298_00124	CDS	1296	esiB			Secretory immunoglobulin A-binding protein EsiB
NZP2298_00125	CDS	723	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
NZP2298_00126	CDS	1644	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
NZP2298_00127	CDS	1494	tauR		COG1167	HTH-type transcriptional regulator TauR
NZP2298_00128	CDS	1590	mtgB_1	2.1.1.-	COG5598	Glycine betaine methyltransferase
NZP2298_00129	CDS	399				hypothetical protein
NZP2298_00130	CDS	1392	srpC_1		COG2059	Probable chromate transport protein
NZP2298_00131	CDS	819				hypothetical protein
NZP2298_00132	CDS	1806	araC_1	4.2.1.25		L-arabonate dehydratase
NZP2298_00133	CDS	450				hypothetical protein
NZP2298_00134	CDS	1176				Iron-sulfur cluster carrier protein
NZP2298_00135	CDS	1005				hypothetical protein
NZP2298_00136	CDS	642				hypothetical protein
NZP2298_00137	CDS	966	oxyR_1			Hydrogen peroxide-inducible genes activator
NZP2298_00138	CDS	480	hndA	1.12.1.3	COG1905	NADP-reducing hydrogenase subunit HndA
NZP2298_00139	CDS	1557	hndC	1.12.1.3	COG1145	NADP-reducing hydrogenase subunit HndC
NZP2298_00140	CDS	2913		1.17.1.9		Putative formate dehydrogenase SA2102
NZP2298_00141	CDS	831	fdhD		COG1526	Sulfur carrier protein FdhD
NZP2298_00142	CDS	309				hypothetical protein
NZP2298_00143	CDS	1596	rutD_1	3.5.1.-		Putative aminoacrylate hydrolase RutD
NZP2298_00144	CDS	480				hypothetical protein
NZP2298_00145	CDS	363				hypothetical protein
NZP2298_00146	CDS	315				hypothetical protein
NZP2298_00147	CDS	1428	prr	1.2.1.19	COG1012	Gamma-aminobutyraldehyde dehydrogenase
NZP2298_00148	CDS	816	ydcV_1			Inner membrane ABC transporter permease protein YdcV
NZP2298_00149	CDS	969	ydcU		COG1176	Inner membrane ABC transporter permease protein YdcU
NZP2298_00150	CDS	999	potA_1	3.6.3.31		Spermidine/putrescine import ATP-binding protein PotA
NZP2298_00151	CDS	1155				hypothetical protein
NZP2298_00152	CDS	1047	oxyR_2			Hydrogen peroxide-inducible genes activator
NZP2298_00153	CDS	450	ywnA		COG1959	Putative HTH-type transcriptional regulator YwnA
NZP2298_00154	CDS	900	trxB_1	1.8.1.9	COG0492	Thioredoxin reductase
NZP2298_00155	CDS	777	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
NZP2298_00156	CDS	888				hypothetical protein
NZP2298_00157	CDS	2442	abo_1	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
NZP2298_00158	CDS	633				hypothetical protein
NZP2298_00159	CDS	903				hypothetical protein
NZP2298_00160	CDS	924	ribN_1			Riboflavin transporter
NZP2298_00161	CDS	1281	codA	3.5.4.1	COG0402	Cytosine deaminase
NZP2298_00162	CDS	1776		3.6.3.-		Putative multidrug export ATP-binding/permease protein SA1683
NZP2298_00163	CDS	1845	ilvD_1	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
NZP2298_00164	CDS	468				hypothetical protein
