locus_tag	ftype	length_bp	gene	EC_number	COG	product
NZP2077_00001	CDS	1473	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
NZP2077_00002	CDS	1119	dnaN			Beta sliding clamp
NZP2077_00003	CDS	1140	recF		COG1195	DNA replication and repair protein RecF
NZP2077_00004	CDS	753	moeZ		COG0476	Probable adenylyltransferase/sulfurtransferase MoeZ
NZP2077_00005	CDS	477				hypothetical protein
NZP2077_00006	CDS	1002		1.1.1.29		Glycerate dehydrogenase
NZP2077_00007	CDS	558				hypothetical protein
NZP2077_00008	CDS	381				hypothetical protein
NZP2077_00009	CDS	450				hypothetical protein
NZP2077_00010	CDS	516	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
NZP2077_00011	CDS	1221	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
NZP2077_00012	CDS	804	fabI_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
NZP2077_00013	CDS	1545			COG2199	Uncharacterized signaling protein CC_0091
NZP2077_00014	CDS	1011	rsmC	2.1.1.172		Ribosomal RNA small subunit methyltransferase C
NZP2077_00015	CDS	2148	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
NZP2077_00016	CDS	270	rpsO		COG0184	30S ribosomal protein S15
NZP2077_00017	CDS	1095	corA_1		COG0598	Cobalt/magnesium transport protein CorA
NZP2077_00018	CDS	978	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
NZP2077_00019	CDS	438	rbfA			Ribosome-binding factor A
NZP2077_00020	CDS	2580	infB		COG0532	Translation initiation factor IF-2
NZP2077_00021	CDS	651				hypothetical protein
NZP2077_00022	CDS	1596	nusA		COG0195	Transcription termination/antitermination protein NusA
NZP2077_00023	CDS	648	rimP			Ribosome maturation factor RimP
NZP2077_00024	CDS	165				hypothetical protein
NZP2077_00025	CDS	702	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
NZP2077_00026	CDS	1266	metK	2.5.1.6		S-adenosylmethionine synthase
NZP2077_00027	CDS	420				hypothetical protein
NZP2077_00028	CDS	1590	lnt	2.3.1.-	COG0815	Apolipoprotein N-acyltransferase
NZP2077_00029	CDS	471				hypothetical protein
NZP2077_00030	CDS	1095	tlyC		COG1253	Hemolysin C
NZP2077_00031	CDS	501	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
NZP2077_00032	CDS	1050			COG1702	PhoH-like protein
NZP2077_00033	CDS	1410	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
NZP2077_00034	CDS	801				hypothetical protein
NZP2077_00035	CDS	495	rimI	2.3.1.128	COG0456	Ribosomal-protein-alanine acetyltransferase
NZP2077_00036	CDS	720	tsaD_1	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase
NZP2077_00037	CDS	1104				hypothetical protein
NZP2077_00038	CDS	1080				hypothetical protein
NZP2077_00039	CDS	1602				hypothetical protein
NZP2077_00040	CDS	486	bfr	1.16.3.1	COG2193	Bacterioferritin
NZP2077_00041	CDS	312				hypothetical protein
NZP2077_00042	CDS	1290				hypothetical protein
NZP2077_00043	CDS	1254	thcD	1.18.1.-		Rhodocoxin reductase
NZP2077_00044	CDS	1278	puuE_1	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
NZP2077_00045	CDS	1134	mdtA_1			Multidrug resistance protein MdtA
NZP2077_00046	CDS	1080	mdtA_2			Multidrug resistance protein MdtA
NZP2077_00047	CDS	3102	swrC		COG0841	Swarming motility protein SwrC
NZP2077_00048	CDS	750	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
NZP2077_00049	CDS	846	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
NZP2077_00050	CDS	921	ddpC_1		COG1173	Probable D,D-dipeptide transport system permease protein DdpC
NZP2077_00051	CDS	1062	dppB_1		COG0601	Dipeptide transport system permease protein DppB
NZP2077_00052	CDS	1644	ddpA_1		COG0747	Probable D,D-dipeptide-binding periplasmic protein DdpA
NZP2077_00053	CDS	1245				Tn3 family transposase TnXax1
NZP2077_00054	CDS	606	recR		COG0353	Recombination protein RecR
NZP2077_00055	CDS	984				hypothetical protein
NZP2077_00056	CDS	408				hypothetical protein
NZP2077_00057	CDS	324			COG0718	Nucleoid-associated protein HI_0442
NZP2077_00058	CDS	1824				hypothetical protein
NZP2077_00059	CDS	420				hypothetical protein
NZP2077_00060	CDS	945	nudC_1	3.6.1.22		NADH pyrophosphatase
NZP2077_00061	CDS	306				hypothetical protein
NZP2077_00062	CDS	864	pheA		COG0077	P-protein
NZP2077_00063	CDS	729	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
NZP2077_00064	CDS	681				hypothetical protein
NZP2077_00065	CDS	1878				hypothetical protein
NZP2077_00066	CDS	1878				hypothetical protein
NZP2077_00067	CDS	1098	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
NZP2077_00068	CDS	1140	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
NZP2077_00069	CDS	1629	yejF_1		COG4172	Uncharacterized ABC transporter ATP-binding protein YejF
NZP2077_00070	CDS	942	ghrA_1	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
NZP2077_00071	CDS	528				hypothetical protein
NZP2077_00072	CDS	363				hypothetical protein
NZP2077_00073	CDS	918				hypothetical protein
NZP2077_00074	CDS	1074				hypothetical protein
NZP2077_00075	CDS	1602	lig	6.5.1.1		DNA ligase
NZP2077_00076	CDS	1143				hypothetical protein
NZP2077_00077	tRNA	76				tRNA-Thr(cgt)
NZP2077_00078	CDS	321				hypothetical protein
NZP2077_00079	CDS	153				hypothetical protein
NZP2077_00080	CDS	1071				hypothetical protein
NZP2077_00081	CDS	189				hypothetical protein
NZP2077_00082	CDS	444				hypothetical protein
NZP2077_00083	CDS	537	sigE_1		COG1595	ECF RNA polymerase sigma factor SigE
NZP2077_00084	CDS	129				hypothetical protein
NZP2077_00085	CDS	447				hypothetical protein
NZP2077_00086	CDS	456				hypothetical protein
NZP2077_00087	CDS	279				hypothetical protein
NZP2077_00088	CDS	1512				hypothetical protein
NZP2077_00089	CDS	1233				hypothetical protein
NZP2077_00090	CDS	237				hypothetical protein
NZP2077_00091	CDS	3420	aas_1	6.2.1.20		Bifunctional protein Aas
NZP2077_00092	CDS	1572				hypothetical protein
NZP2077_00093	CDS	2154				hypothetical protein
NZP2077_00094	CDS	483				hypothetical protein
NZP2077_00095	CDS	1572	carA2	1.3.99.29	COG1233	zeta-carotene-forming phytoene desaturase
NZP2077_00096	CDS	825	kynB	3.5.1.9		Kynurenine formamidase
NZP2077_00097	CDS	1575	crtI_1	1.3.99.28	COG1233	Phytoene desaturase (neurosporene-forming)
NZP2077_00098	CDS	1530				hypothetical protein
NZP2077_00099	CDS	1008	dppB_2		COG0601	Dipeptide transport system permease protein DppB
NZP2077_00100	CDS	843	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
NZP2077_00101	CDS	879	ddpD		COG0444	Probable D,D-dipeptide transport ATP-binding protein DdpD
NZP2077_00102	CDS	837	oppF_2		COG4608	Oligopeptide transport ATP-binding protein OppF
NZP2077_00103	CDS	600	cetB_1	5.1.3.33		2-epi-5-epi-valiolone epimerase
NZP2077_00104	CDS	2295	namA_1	1.6.99.1		NADPH dehydrogenase
NZP2077_00105	CDS	774	actIII_1	1.3.1.-		Putative ketoacyl reductase
NZP2077_00106	CDS	471	mhqR		COG1846	HTH-type transcriptional regulator MhqR
NZP2077_00107	CDS	813		4.2.1.17	COG1024	Probable enoyl-CoA hydratase echA12
NZP2077_00108	CDS	1149		1.3.99.-	COG1960	Probable acyl-CoA dehydrogenase fadE25
NZP2077_00109	CDS	414	tdcF_1	3.5.4.-	COG0251	Putative reactive intermediate deaminase TdcF
NZP2077_00110	CDS	1092	rutA_1	1.14.99.46	COG2141	Pyrimidine monooxygenase RutA
NZP2077_00111	CDS	762	garL	4.1.2.20	COG3836	5-keto-4-deoxy-D-glucarate aldolase
NZP2077_00112	CDS	117				hypothetical protein
NZP2077_00113	CDS	798	fliY_1		COG0834	L-cystine-binding protein FliY
NZP2077_00114	CDS	675	yecS_1		COG0765	L-cystine transport system permease protein YecS
NZP2077_00115	CDS	1290	csd_1	2.8.1.7		Probable cysteine desulfurase
NZP2077_00116	CDS	477				hypothetical protein
NZP2077_00117	CDS	831	gsiA_1	3.6.3.-	COG1123	Glutathione import ATP-binding protein GsiA
NZP2077_00118	CDS	852	dppD_1		COG0444	Dipeptide transport ATP-binding protein DppD
NZP2077_00119	CDS	912	dppC		COG1173	Dipeptide transport system permease protein DppC
NZP2077_00120	CDS	1008	dppB_3		COG0601	Dipeptide transport system permease protein DppB
NZP2077_00121	CDS	1599	dppA_1		COG0747	Periplasmic dipeptide transport protein
NZP2077_00122	CDS	1992	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
NZP2077_00123	CDS	711	prmA_1	2.1.1.-		Ribosomal protein L11 methyltransferase
NZP2077_00124	CDS	723	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
NZP2077_00125	CDS	1644	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
NZP2077_00126	CDS	1494	tauR		COG1167	HTH-type transcriptional regulator TauR
NZP2077_00127	CDS	1590	mtgB_1	2.1.1.-	COG5598	Glycine betaine methyltransferase
NZP2077_00128	CDS	399				hypothetical protein
NZP2077_00129	CDS	1392	srpC_1		COG2059	Probable chromate transport protein
NZP2077_00130	CDS	819				hypothetical protein
NZP2077_00131	CDS	1806	araC_1	4.2.1.25		L-arabonate dehydratase
NZP2077_00132	CDS	450				hypothetical protein
NZP2077_00133	CDS	1176				Iron-sulfur cluster carrier protein
NZP2077_00134	CDS	1302				hypothetical protein
NZP2077_00135	CDS	900	oxyR_1			Hydrogen peroxide-inducible genes activator
NZP2077_00136	CDS	480	nuoE	1.6.5.11	COG1905	NADH-quinone oxidoreductase subunit E
NZP2077_00137	CDS	1557	hndC	1.12.1.3	COG1145	NADP-reducing hydrogenase subunit HndC
NZP2077_00138	CDS	2913		1.17.1.9		Putative formate dehydrogenase SA2102
NZP2077_00139	CDS	831	fdhD		COG1526	Sulfur carrier protein FdhD
NZP2077_00140	CDS	312				hypothetical protein
NZP2077_00141	CDS	1554	rutD_1	3.5.1.-		Putative aminoacrylate hydrolase RutD
NZP2077_00142	CDS	480				hypothetical protein
NZP2077_00143	CDS	363				hypothetical protein
NZP2077_00144	CDS	315				hypothetical protein
NZP2077_00145	CDS	1428	prr_1	1.2.1.19	COG1012	Gamma-aminobutyraldehyde dehydrogenase
NZP2077_00146	CDS	816	ydcV_1			Inner membrane ABC transporter permease protein YdcV
NZP2077_00147	CDS	969	ydcU		COG1176	Inner membrane ABC transporter permease protein YdcU
NZP2077_00148	CDS	999	potA_1	3.6.3.31		Spermidine/putrescine import ATP-binding protein PotA
NZP2077_00149	CDS	1155				hypothetical protein
NZP2077_00150	CDS	912	oxyR_2			Hydrogen peroxide-inducible genes activator
NZP2077_00151	CDS	618				hypothetical protein
NZP2077_00152	CDS	600				hypothetical protein
NZP2077_00153	CDS	675	basR_1			Transcriptional regulatory protein BasR
NZP2077_00154	CDS	1362	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
NZP2077_00155	CDS	777	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
NZP2077_00156	CDS	888				hypothetical protein
NZP2077_00157	CDS	2454	abo_1	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
NZP2077_00158	CDS	633				hypothetical protein
NZP2077_00159	CDS	903				hypothetical protein
NZP2077_00160	CDS	924	ribN_1			Riboflavin transporter
NZP2077_00161	CDS	1281	codA	3.5.4.1	COG0402	Cytosine deaminase
NZP2077_00162	CDS	1776		3.6.3.-		Putative multidrug export ATP-binding/permease protein SA1683
