locus_tag	ftype	length_bp	gene	EC_number	COG	product
NZP2014_00001	CDS	1473	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
NZP2014_00002	CDS	1119	dnaN			Beta sliding clamp
NZP2014_00003	CDS	1140	recF		COG1195	DNA replication and repair protein RecF
NZP2014_00004	CDS	753	moeZ		COG0476	Probable adenylyltransferase/sulfurtransferase MoeZ
NZP2014_00005	CDS	477				hypothetical protein
NZP2014_00006	CDS	1002		1.1.1.29		Glycerate dehydrogenase
NZP2014_00007	CDS	561				hypothetical protein
NZP2014_00008	CDS	360				hypothetical protein
NZP2014_00009	CDS	432	fur		COG0735	Ferric uptake regulation protein
NZP2014_00010	CDS	516	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
NZP2014_00011	CDS	1221	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
NZP2014_00012	CDS	804	fabI_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
NZP2014_00013	CDS	1545			COG2199	Uncharacterized signaling protein CC_0091
NZP2014_00014	CDS	1011	rsmC	2.1.1.172		Ribosomal RNA small subunit methyltransferase C
NZP2014_00015	CDS	2148	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
NZP2014_00016	CDS	270	rpsO		COG0184	30S ribosomal protein S15
NZP2014_00017	CDS	1095	corA_1		COG0598	Cobalt/magnesium transport protein CorA
NZP2014_00018	CDS	987	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
NZP2014_00019	CDS	426	rbfA			Ribosome-binding factor A
NZP2014_00020	CDS	2583	infB		COG0532	Translation initiation factor IF-2
NZP2014_00021	CDS	651				hypothetical protein
NZP2014_00022	CDS	1596	nusA		COG0195	Transcription termination/antitermination protein NusA
NZP2014_00023	CDS	633	rimP			Ribosome maturation factor RimP
NZP2014_00024	CDS	165				hypothetical protein
NZP2014_00025	CDS	741	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
NZP2014_00026	CDS	1266	metK_1	2.5.1.6		S-adenosylmethionine synthase
NZP2014_00027	CDS	420				hypothetical protein
NZP2014_00028	CDS	1593	lnt	2.3.1.-	COG0815	Apolipoprotein N-acyltransferase
NZP2014_00029	CDS	471			COG2764	Uncharacterized protein Rv0887c
NZP2014_00030	CDS	1095	tlyC		COG1253	Hemolysin C
NZP2014_00031	CDS	501	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
NZP2014_00032	CDS	1050			COG1702	PhoH-like protein
NZP2014_00033	CDS	1410	miaB_1	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
NZP2014_00034	CDS	801				hypothetical protein
NZP2014_00035	CDS	495	rimI	2.3.1.128	COG0456	Ribosomal-protein-alanine acetyltransferase
NZP2014_00036	CDS	678	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
NZP2014_00037	CDS	1104				hypothetical protein
NZP2014_00038	CDS	1080	irpA		COG3489	Iron-regulated protein A
NZP2014_00039	CDS	1602				hypothetical protein
NZP2014_00040	CDS	486	bfr	1.16.3.1	COG2193	Bacterioferritin
NZP2014_00041	CDS	312				hypothetical protein
NZP2014_00042	CDS	1290				hypothetical protein
NZP2014_00043	CDS	1254	thcD	1.18.1.-		Rhodocoxin reductase
NZP2014_00044	CDS	1278	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
NZP2014_00045	CDS	1140	mdtA_1			Multidrug resistance protein MdtA
NZP2014_00046	CDS	1077	mdtA_2			Multidrug resistance protein MdtA
NZP2014_00047	CDS	3096	swrC		COG0841	Swarming motility protein SwrC
NZP2014_00048	CDS	747	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
NZP2014_00049	CDS	834	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
NZP2014_00050	CDS	921	ddpC_1		COG1173	Probable D,D-dipeptide transport system permease protein DdpC
NZP2014_00051	CDS	1062	dppB_1		COG0601	Dipeptide transport system permease protein DppB
NZP2014_00052	CDS	1644	ddpA_1		COG0747	Probable D,D-dipeptide-binding periplasmic protein DdpA
NZP2014_00053	CDS	1248				Tn3 family transposase TnXax1
NZP2014_00054	CDS	606	recR		COG0353	Recombination protein RecR
NZP2014_00055	CDS	1002				hypothetical protein
NZP2014_00056	CDS	408				hypothetical protein
NZP2014_00057	CDS	324			COG0718	Nucleoid-associated protein HI_0442
NZP2014_00058	CDS	1824				hypothetical protein
NZP2014_00059	CDS	420				hypothetical protein
NZP2014_00060	CDS	945	nudC_1	3.6.1.22		NADH pyrophosphatase
NZP2014_00061	CDS	306				hypothetical protein
NZP2014_00062	CDS	864	pheA		COG0077	P-protein
NZP2014_00063	CDS	729	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
NZP2014_00064	CDS	648	cycM		COG3474	Cytochrome c-552
NZP2014_00065	CDS	1878				hypothetical protein
NZP2014_00066	CDS	1869				hypothetical protein
NZP2014_00067	CDS	1095	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
NZP2014_00068	CDS	1146	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
NZP2014_00069	CDS	1632	yejF_1		COG4172	Uncharacterized ABC transporter ATP-binding protein YejF
NZP2014_00070	CDS	942	ghrA_1	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
NZP2014_00071	CDS	528				hypothetical protein
NZP2014_00072	CDS	363				hypothetical protein
NZP2014_00073	CDS	915	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
NZP2014_00074	CDS	1008				hypothetical protein
NZP2014_00075	CDS	1602	lig	6.5.1.1		DNA ligase
NZP2014_00076	CDS	1143				hypothetical protein
NZP2014_00077	tRNA	76				tRNA-Thr(cgt)
NZP2014_00078	CDS	600				hypothetical protein
NZP2014_00079	CDS	1080				hypothetical protein
NZP2014_00080	CDS	969	xerC_1			Tyrosine recombinase XerC
NZP2014_00081	CDS	960				hypothetical protein
NZP2014_00082	CDS	1029				hypothetical protein
NZP2014_00083	CDS	582				hypothetical protein
NZP2014_00084	CDS	432				hypothetical protein
NZP2014_00085	CDS	1434				hypothetical protein
NZP2014_00086	CDS	687				hypothetical protein
NZP2014_00087	CDS	501				hypothetical protein
NZP2014_00088	CDS	3633				hypothetical protein
NZP2014_00089	CDS	996	namA_1	1.6.99.1		NADPH dehydrogenase
NZP2014_00090	CDS	354				hypothetical protein
NZP2014_00091	CDS	774	dcd_1	3.5.4.13		Deoxycytidine triphosphate deaminase
NZP2014_00092	CDS	750				hypothetical protein
NZP2014_00093	CDS	648				hypothetical protein
NZP2014_00094	CDS	924				hypothetical protein
NZP2014_00095	CDS	918				hypothetical protein
NZP2014_00096	CDS	336				hypothetical protein
NZP2014_00097	CDS	339				hypothetical protein
NZP2014_00098	CDS	339				hypothetical protein
NZP2014_00099	CDS	645				hypothetical protein
NZP2014_00100	CDS	1125	xerC_2			Tyrosine recombinase XerC
NZP2014_00101	CDS	189				hypothetical protein
NZP2014_00102	CDS	438				hypothetical protein
NZP2014_00103	CDS	537	sigE		COG1595	ECF RNA polymerase sigma factor SigE
NZP2014_00104	CDS	417				hypothetical protein
NZP2014_00105	CDS	456				hypothetical protein
NZP2014_00106	CDS	279				hypothetical protein
NZP2014_00107	CDS	1515				hypothetical protein
NZP2014_00108	CDS	1254				hypothetical protein
NZP2014_00109	CDS	3420	aas_1	6.2.1.20		Bifunctional protein Aas
NZP2014_00110	CDS	1590				hypothetical protein
NZP2014_00111	CDS	2154				hypothetical protein
NZP2014_00112	CDS	483				hypothetical protein
NZP2014_00113	CDS	1572	carA2	1.3.99.29	COG1233	zeta-carotene-forming phytoene desaturase
NZP2014_00114	CDS	792	kynB	3.5.1.9		Kynurenine formamidase
NZP2014_00115	CDS	1575	crtI_1	1.3.99.28	COG1233	Phytoene desaturase (neurosporene-forming)
NZP2014_00116	CDS	1530				hypothetical protein
NZP2014_00117	CDS	1008	dppB_2		COG0601	Dipeptide transport system permease protein DppB
NZP2014_00118	CDS	843	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
NZP2014_00119	CDS	879	ddpD		COG0444	Probable D,D-dipeptide transport ATP-binding protein DdpD
NZP2014_00120	CDS	837	oppF_2		COG4608	Oligopeptide transport ATP-binding protein OppF
NZP2014_00121	CDS	600	cetB	5.1.3.33		2-epi-5-epi-valiolone epimerase
NZP2014_00122	CDS	2295	namA_2	1.6.99.1		NADPH dehydrogenase
NZP2014_00123	CDS	774	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
NZP2014_00124	CDS	471	mhqR		COG1846	HTH-type transcriptional regulator MhqR
NZP2014_00125	CDS	813		4.2.1.17	COG1024	Probable enoyl-CoA hydratase echA12
NZP2014_00126	CDS	1149	caiA_1	1.3.99.-		Crotonobetainyl-CoA dehydrogenase
NZP2014_00127	CDS	396				hypothetical protein
NZP2014_00128	CDS	1092	rutA_1	1.14.99.46	COG2141	Pyrimidine monooxygenase RutA
NZP2014_00129	CDS	762	garL	4.1.2.20	COG3836	5-keto-4-deoxy-D-glucarate aldolase
NZP2014_00130	CDS	798	fliY_1		COG0834	L-cystine-binding protein FliY
NZP2014_00131	CDS	675	yecS_1		COG0765	L-cystine transport system permease protein YecS
NZP2014_00132	CDS	1290	csd_1	2.8.1.7		Probable cysteine desulfurase
NZP2014_00133	CDS	828	oppF_3		COG4608	Oligopeptide transport ATP-binding protein OppF
NZP2014_00134	CDS	867	dppD_1		COG0444	Dipeptide transport ATP-binding protein DppD
NZP2014_00135	CDS	912	dppC_1		COG1173	Dipeptide transport system permease protein DppC
