locus_tag	ftype	length_bp	gene	EC_number	COG	product
NZP2042_00001	CDS	1473	dnaA		COG0593	Chromosomal replication initiator protein DnaA
NZP2042_00002	CDS	1119	dnaN			Beta sliding clamp
NZP2042_00003	CDS	1140	recF		COG1195	DNA replication and repair protein RecF
NZP2042_00004	CDS	753	moeZ		COG0476	Probable adenylyltransferase/sulfurtransferase MoeZ
NZP2042_00005	CDS	477				hypothetical protein
NZP2042_00006	CDS	1002		1.1.1.29		Glycerate dehydrogenase
NZP2042_00007	CDS	558				hypothetical protein
NZP2042_00008	CDS	432				hypothetical protein
NZP2042_00009	CDS	516	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
NZP2042_00010	CDS	1221	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
NZP2042_00011	CDS	804	fabI_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
NZP2042_00012	CDS	1545			COG2199	Uncharacterized signaling protein CC_0091
NZP2042_00013	CDS	1059	rsmC	2.1.1.172		Ribosomal RNA small subunit methyltransferase C
NZP2042_00014	CDS	2148	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
NZP2042_00015	CDS	270	rpsO		COG0184	30S ribosomal protein S15
NZP2042_00016	CDS	1095	corA_1		COG0598	Cobalt/magnesium transport protein CorA
NZP2042_00017	CDS	978	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
NZP2042_00018	CDS	426	rbfA			Ribosome-binding factor A
NZP2042_00019	CDS	2583	infB		COG0532	Translation initiation factor IF-2
NZP2042_00020	CDS	651				hypothetical protein
NZP2042_00021	CDS	1596	nusA		COG0195	Transcription termination/antitermination protein NusA
NZP2042_00022	CDS	633	rimP			Ribosome maturation factor RimP
NZP2042_00023	CDS	165				hypothetical protein
NZP2042_00024	CDS	702	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
NZP2042_00025	CDS	1266	metK_1	2.5.1.6		S-adenosylmethionine synthase
NZP2042_00026	CDS	420				hypothetical protein
NZP2042_00027	CDS	1590	lnt	2.3.1.-	COG0815	Apolipoprotein N-acyltransferase
NZP2042_00028	CDS	471				hypothetical protein
NZP2042_00029	CDS	1095	tlyC		COG1253	Hemolysin C
NZP2042_00030	CDS	507	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
NZP2042_00031	CDS	1077			COG1702	PhoH-like protein
NZP2042_00032	CDS	1410	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
NZP2042_00033	CDS	801				hypothetical protein
NZP2042_00034	CDS	495	rimI	2.3.1.128	COG0456	Ribosomal-protein-alanine acetyltransferase
NZP2042_00035	CDS	678	tsaD_1	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase
NZP2042_00036	CDS	1104				hypothetical protein
NZP2042_00037	CDS	1080				hypothetical protein
NZP2042_00038	CDS	1602				hypothetical protein
NZP2042_00039	CDS	486	bfr	1.16.3.1	COG2193	Bacterioferritin
NZP2042_00040	CDS	312				hypothetical protein
NZP2042_00041	CDS	1290				hypothetical protein
NZP2042_00042	CDS	1254	thcD	1.18.1.-		Rhodocoxin reductase
NZP2042_00043	CDS	1278	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
NZP2042_00044	CDS	1134	mdtA_1			Multidrug resistance protein MdtA
NZP2042_00045	CDS	1077	mdtE			Multidrug resistance protein MdtE
NZP2042_00046	CDS	3099	mepB_1		COG0841	Multidrug/solvent efflux pump membrane transporter MepB
NZP2042_00047	CDS	750	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
NZP2042_00048	CDS	834	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
NZP2042_00049	CDS	927	ddpC_1		COG1173	Probable D,D-dipeptide transport system permease protein DdpC
NZP2042_00050	CDS	1062	dppB_1		COG0601	Dipeptide transport system permease protein DppB
NZP2042_00051	CDS	1770	ddpA_1		COG0747	Probable D,D-dipeptide-binding periplasmic protein DdpA
NZP2042_00052	CDS	1248				Tn3 family transposase TnXax1
NZP2042_00053	CDS	606	recR		COG0353	Recombination protein RecR
NZP2042_00054	CDS	993				hypothetical protein
NZP2042_00055	CDS	408				hypothetical protein
NZP2042_00056	CDS	324			COG0718	Nucleoid-associated protein HI_0442
NZP2042_00057	CDS	1836				hypothetical protein
